FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
ＤｅＮＡ/日本ハム,05/31,日本ハム,1,0,0,0,2,0,3,0,,,,,6,14,1,
ヤクルト/オリックス,05/31,ヤクルト,0,0,0,0,1,0,0,0,0,0,,,1,7,0,
ヤクルト/オリックス,05/31,オリックス,0,0,0,0,0,0,0,1,0,1,,,2,9,0,
巨人/楽天,05/31,巨人,0,0,0,0,0,0,0,0,0,,,,0,5,1,
巨人/楽天,05/31,楽天,0,0,3,0,1,0,2,0,,,,,6,9,1,
広島/西武,05/31,広島,0,0,0,2,6,0,1,0,0,,,,9,7,2,
広島/西武,05/31,西武,0,0,1,0,0,0,0,0,3,,,,4,7,1,
阪神/ロッテ,05/31,阪神,0,3,0,0,0,0,0,0,2,,,,5,11,0,
阪神/ロッテ,05/31,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,5,1,
中日/ソフトバンク,05/31,中日,0,0,1,1,0,0,0,0,0,,,,2,7,0,
中日/ソフトバンク,05/31,ソフトバンク,2,1,1,1,0,1,0,1,,,,,7,16,0,
ＤｅＮＡ/日本ハム,06/01,ＤｅＮＡ,0,0,0,0,3,0,0,0,0,,,,3,7,0,
ＤｅＮＡ/日本ハム,06/01,日本ハム,0,0,4,0,1,0,0,0,,,,,5,9,0,
ヤクルト/オリックス,06/01,ヤクルト,1,0,0,1,0,0,0,0,0,,,,2,4,0,
ヤクルト/オリックス,06/01,オリックス,1,0,0,0,0,2,0,0,,,,,3,6,0,
巨人/楽天,06/01,巨人,0,0,0,2,0,0,0,0,0,,,,2,7,1,
巨人/楽天,06/01,楽天,0,0,0,0,0,3,0,0,,,,,3,10,1,
広島/西武,06/01,広島,0,2,0,0,0,0,0,0,0,,,,2,9,0,
広島/西武,06/01,西武,0,0,0,2,2,0,0,0,,,,,4,6,1,
阪神/ロッテ,06/01,阪神,1,0,0,0,0,0,0,0,0,,,,1,8,0,
阪神/ロッテ,06/01,ロッテ,3,0,0,0,1,0,0,4,,,,,8,10,1,
中日/ソフトバンク,06/01,中日,1,0,0,1,0,2,0,1,0,,,,5,9,0,
中日/ソフトバンク,06/01,ソフトバンク,0,0,0,0,0,1,0,0,0,,,,1,6,2,
オリックス/巨人,06/02,オリックス,0,0,0,1,0,0,0,0,3,0,2,,6,17,0,
オリックス/巨人,06/02,巨人,0,0,0,0,0,0,4,0,0,0,1,,5,10,1,
ソフトバンク/ＤｅＮＡ,06/02,ソフトバンク,4,1,0,0,1,0,0,0,0,,,,6,6,1,
ソフトバンク/ＤｅＮＡ,06/02,ＤｅＮＡ,0,0,2,0,2,0,0,0,0,,,,4,6,2,
ロッテ/広島,06/02,ロッテ,4,0,0,0,0,0,0,0,0,0,0,1,5,13,2,
ロッテ/広島,06/02,広島,0,0,0,0,4,0,0,0,0,0,0,0,4,10,0,
楽天/中日,06/02,楽天,0,0,0,0,0,0,0,0,3,,,,3,7,0,
楽天/中日,06/02,中日,0,0,0,0,1,0,2,3,,,,,6,10,0,
西武/ヤクルト,06/02,西武,1,0,0,0,0,0,2,0,0,,,,3,8,0,
西武/ヤクルト,06/02,ヤクルト,0,0,1,1,0,0,0,0,0,,,,2,7,0,
日本ハム/阪神,06/02,日本ハム,0,0,0,0,0,0,1,0,3,,,,4,7,2,
日本ハム/阪神,06/02,阪神,0,0,0,1,1,0,0,0,0,,,,2,11,1,
オリックス/巨人,06/03,オリックス,4,0,0,0,1,0,0,0,0,,,,5,11,0,
オリックス/巨人,06/03,巨人,0,0,0,0,0,4,0,0,0,,,,4,7,0,
ソフトバンク/ＤｅＮＡ,06/03,ソフトバンク,3,0,0,0,1,0,0,0,3,,,,7,11,1,
ソフトバンク/ＤｅＮＡ,06/03,ＤｅＮＡ,0,0,0,0,0,3,0,0,0,,,,3,6,1,
ロッテ/広島,06/03,ロッテ,0,0,3,1,0,0,0,0,1,,,,5,8,0,
ロッテ/広島,06/03,広島,0,0,3,0,0,2,1,0,,,,,6,13,1,
楽天/中日,06/03,楽天,0,0,1,0,0,3,1,0,0,,,,5,10,1,
楽天/中日,06/03,中日,0,0,0,0,0,0,0,0,1,,,,1,8,1,
西武/ヤクルト,06/03,西武,0,1,3,2,1,1,0,3,0,,,,11,12,0,
西武/ヤクルト,06/03,ヤクルト,0,0,2,0,0,0,0,0,0,,,,2,10,0,
日本ハム/阪神,06/03,日本ハム,2,0,0,0,0,0,0,0,0,,,,2,7,0,
日本ハム/阪神,06/03,阪神,0,0,1,2,0,0,0,1,,,,,4,8,1,
オリックス/巨人,06/04,オリックス,1,0,2,0,0,0,0,0,0,,,,3,8,0,
オリックス/巨人,06/04,巨人,1,0,0,0,0,0,0,0,0,,,,1,4,1,
ソフトバンク/ＤｅＮＡ,06/04,ソフトバンク,0,0,0,3,0,0,0,0,0,,,,3,6,1,
ソフトバンク/ＤｅＮＡ,06/04,ＤｅＮＡ,2,0,0,0,0,2,0,1,,,,,5,7,0,
ロッテ/広島,06/04,ロッテ,0,0,0,0,0,1,0,0,0,,,,1,6,2,
ロッテ/広島,06/04,広島,1,0,0,1,2,2,0,1,,,,,7,8,2,
楽天/中日,06/04,楽天,0,0,0,0,0,0,0,0,0,,,,0,4,0,
楽天/中日,06/04,中日,0,0,0,0,2,0,0,0,,,,,2,8,0,
西武/ヤクルト,06/04,西武,0,0,5,0,1,2,0,0,0,0,0,0,8,10,2,
西武/ヤクルト,06/04,ヤクルト,0,0,0,1,1,0,0,2,4,0,0,0,8,17,1,
日本ハム/阪神,06/04,日本ハム,0,0,0,0,0,2,0,0,1,0,0,,3,7,2,
日本ハム/阪神,06/04,阪神,0,0,1,0,0,0,0,0,2,0,1,,4,5,0,
ＤｅＮＡ/楽天,06/06,ＤｅＮＡ,3,0,1,0,4,1,0,0,0,,,,9,13,0,
ＤｅＮＡ/楽天,06/06,楽天,0,0,0,1,0,0,0,0,0,,,,1,5,1,
ヤクルト/ソフトバンク,06/06,ヤクルト,0,0,1,0,0,0,0,0,0,0,,,1,6,0,
ヤクルト/ソフトバンク,06/06,ソフトバンク,0,0,0,0,1,0,0,0,0,1,,,2,9,0,
巨人/西武,06/06,巨人,0,0,2,1,0,2,0,0,0,,,,5,13,0,
巨人/西武,06/06,西武,0,0,0,2,0,3,2,1,,,,,8,10,0,
広島/日本ハム,06/06,広島,0,0,0,1,0,0,3,0,0,,,,4,8,0,
広島/日本ハム,06/06,日本ハム,0,2,0,0,0,1,0,0,0,,,,3,6,2,
阪神/オリックス,06/06,阪神,0,0,6,0,0,5,0,0,0,,,,11,11,0,
阪神/オリックス,06/06,オリックス,2,0,0,0,0,0,0,0,2,,,,4,15,1,
中日/ロッテ,06/06,中日,1,0,0,0,0,1,0,1,0,,,,3,7,0,
中日/ロッテ,06/06,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,4,0,
ＤｅＮＡ/楽天,06/07,ＤｅＮＡ,6,0,2,0,0,0,2,0,0,,,,10,12,1,
ＤｅＮＡ/楽天,06/07,楽天,0,2,0,4,0,0,0,0,0,,,,6,7,1,
ヤクルト/ソフトバンク,06/07,ヤクルト,0,0,0,0,1,0,0,0,0,,,,1,3,0,
ヤクルト/ソフトバンク,06/07,ソフトバンク,0,0,3,0,0,0,0,1,,,,,4,9,0,
巨人/西武,06/07,巨人,0,0,0,0,0,0,0,0,0,,,,0,6,0,
巨人/西武,06/07,西武,0,0,0,2,0,1,0,0,,,,,3,10,0,
広島/日本ハム,06/07,広島,0,2,1,4,1,0,0,0,0,,,,8,15,0,
広島/日本ハム,06/07,日本ハム,1,0,1,1,0,0,0,0,0,,,,3,5,0,
阪神/オリックス,06/07,阪神,1,0,0,3,0,0,0,0,0,,,,4,7,0,
阪神/オリックス,06/07,オリックス,0,0,0,0,1,3,0,0,1,,,,5,9,0,
中日/ロッテ,06/07,中日,0,0,1,0,0,1,1,1,0,,,,4,10,2,
中日/ロッテ,06/07,ロッテ,0,0,0,1,0,1,0,0,0,,,,2,4,1,
ＤｅＮＡ/楽天,06/08,ＤｅＮＡ,0,0,0,0,0,1,0,1,0,,,,2,7,0,
ＤｅＮＡ/楽天,06/08,楽天,1,0,1,3,3,0,0,0,,,,,8,10,0,
ヤクルト/ソフトバンク,06/08,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,6,2,
ヤクルト/ソフトバンク,06/08,ソフトバンク,1,0,6,1,0,6,0,1,,,,,15,20,0,
巨人/西武,06/08,巨人,0,0,0,0,0,2,0,0,0,,,,2,7,0,
巨人/西武,06/08,西武,1,0,6,2,3,1,0,0,,,,,13,13,2,
広島/日本ハム,06/08,広島,2,0,0,0,2,0,0,0,1,,,,5,9,0,
広島/日本ハム,06/08,日本ハム,0,0,0,0,0,1,0,2,0,,,,3,9,1,
阪神/オリックス,06/08,阪神,0,1,0,0,1,1,0,0,0,,,,3,5,1,
阪神/オリックス,06/08,オリックス,1,0,0,0,0,1,0,0,0,,,,2,6,0,
中日/ロッテ,06/08,中日,2,0,0,3,0,0,0,0,0,,,,5,11,0,
中日/ロッテ,06/08,ロッテ,0,1,2,0,3,3,0,0,,,,,9,13,0,
ＤｅＮＡ/西武,06/09,ＤｅＮＡ,0,2,0,0,0,0,0,0,2,,,,4,7,0,
ＤｅＮＡ/西武,06/09,西武,0,0,0,0,0,0,3,0,0,,,,3,10,1,
ヤクルト/ロッテ,06/09,ヤクルト,0,0,0,1,0,0,0,0,0,,,,1,8,2,
ヤクルト/ロッテ,06/09,ロッテ,4,0,0,1,1,0,0,0,,,,,6,11,1,
巨人/日本ハム,06/09,巨人,0,1,0,0,1,0,0,0,0,,,,2,8,0,
巨人/日本ハム,06/09,日本ハム,0,1,0,0,0,0,0,0,0,,,,1,5,0,
広島/楽天,06/09,広島,0,3,3,0,0,0,0,4,2,,,,12,16,1,
広島/楽天,06/09,楽天,0,0,0,2,0,0,0,0,1,,,,3,10,0,
阪神/ソフトバンク,06/09,阪神,0,0,0,0,0,0,0,0,0,,,,0,4,0,
阪神/ソフトバンク,06/09,ソフトバンク,1,0,2,0,0,0,0,0,,,,,3,6,0,
中日/オリックス,06/09,中日,0,0,0,1,0,1,0,0,0,0,,,2,7,0,
中日/オリックス,06/09,オリックス,0,0,0,0,1,1,0,0,0,2,,,4,9,0,
ＤｅＮＡ/西武,06/10,ＤｅＮＡ,0,0,2,0,0,0,0,0,0,,,,2,12,2,
ＤｅＮＡ/西武,06/10,西武,2,3,0,0,0,0,0,1,,,,,6,7,1,
ヤクルト/ロッテ,06/10,ヤクルト,0,0,0,0,1,0,0,0,0,,,,1,8,0,
ヤクルト/ロッテ,06/10,ロッテ,0,1,0,0,0,2,1,0,,,,,4,13,0,
巨人/日本ハム,06/10,巨人,0,0,0,0,0,0,2,0,0,,,,2,4,1,
巨人/日本ハム,06/10,日本ハム,1,0,0,0,0,0,0,2,,,,,3,6,1,
広島/楽天,06/10,広島,0,0,0,1,0,0,0,0,0,,,,1,4,0,
広島/楽天,06/10,楽天,0,0,0,0,1,0,0,1,,,,,2,6,0,
阪神/ソフトバンク,06/10,阪神,0,4,0,0,0,0,0,1,0,,,,5,5,1,
阪神/ソフトバンク,06/10,ソフトバンク,0,0,0,0,1,0,0,0,0,,,,1,6,2,
中日/オリックス,06/10,中日,0,0,0,0,0,0,3,0,0,,,,3,8,0,
中日/オリックス,06/10,オリックス,0,0,0,1,1,0,0,3,,,,,5,7,1,
ＤｅＮＡ/西武,06/11,ＤｅＮＡ,0,0,0,0,0,0,0,0,0,,,,0,5,0,
ＤｅＮＡ/西武,06/11,西武,0,0,0,1,0,0,0,0,,,,,1,5,0,
ヤクルト/ロッテ,06/11,ヤクルト,7,0,1,0,0,0,0,1,0,,,,9,12,2,
ヤクルト/ロッテ,06/11,ロッテ,0,0,0,0,0,0,2,4,0,,,,6,8,0,
巨人/日本ハム,06/11,巨人,0,0,0,0,1,0,0,0,0,,,,1,7,0,
巨人/日本ハム,06/11,日本ハム,0,0,2,2,0,0,1,0,,,,,5,10,1,
広島/楽天,06/11,広島,0,1,0,0,1,0,0,1,0,,,,3,7,2,
広島/楽天,06/11,楽天,1,0,0,0,1,0,1,1,,,,,4,7,1,
阪神/ソフトバンク,06/11,阪神,0,0,0,0,1,0,1,0,0,,,,2,8,0,
阪神/ソフトバンク,06/11,ソフトバンク,2,0,1,0,0,0,0,2,,,,,5,8,0,
中日/オリックス,06/11,中日,0,0,0,0,1,0,0,3,0,,,,4,8,0,
中日/オリックス,06/11,オリックス,0,0,0,0,0,0,0,0,0,,,,0,3,0,
オリックス/広島,06/13,オリックス,0,0,0,0,0,0,0,0,0,,,,0,4,1,
オリックス/広島,06/13,広島,0,0,0,0,0,0,0,1,,,,,1,5,0,
ソフトバンク/巨人,06/13,ソフトバンク,0,0,0,0,0,0,0,1,0,,,,1,3,0,
ソフトバンク/巨人,06/13,巨人,0,0,1,1,0,0,3,0,,,,,5,11,0,
ロッテ/ＤｅＮＡ,06/13,ロッテ,1,0,0,0,0,5,0,0,2,,,,8,12,0,
ロッテ/ＤｅＮＡ,06/13,ＤｅＮＡ,0,0,0,0,0,0,1,0,0,,,,1,7,0,
楽天/ヤクルト,06/13,楽天,3,0,2,0,1,2,1,1,2,,,,12,15,4,
楽天/ヤクルト,06/13,ヤクルト,0,0,0,0,0,2,0,1,0,,,,3,3,0,
西武/阪神,06/13,西武,0,0,1,1,0,0,0,0,0,,,,2,9,0,
西武/阪神,06/13,阪神,0,2,0,1,0,0,2,2,,,,,7,8,0,
日本ハム/中日,06/13,日本ハム,3,0,1,0,1,0,0,0,0,,,,5,8,1,
日本ハム/中日,06/13,中日,2,2,0,0,0,1,0,2,,,,,7,9,0,
オリックス/広島,06/14,オリックス,0,1,0,0,0,0,2,3,0,0,0,0,6,13,1,
オリックス/広島,06/14,広島,0,1,0,0,1,4,0,0,0,0,0,1,7,11,0,
ソフトバンク/巨人,06/14,ソフトバンク,0,0,0,0,0,0,0,0,0,,,,0,0,0,
ソフトバンク/巨人,06/14,巨人,0,0,0,0,0,2,0,1,,,,,3,9,1,
ロッテ/ＤｅＮＡ,06/14,ロッテ,0,0,0,0,0,1,0,0,1,,,,2,9,0,
ロッテ/ＤｅＮＡ,06/14,ＤｅＮＡ,3,0,1,0,0,0,1,0,,,,,5,9,0,
楽天/ヤクルト,06/14,楽天,0,0,0,0,1,0,0,1,0,,,,2,6,1,
楽天/ヤクルト,06/14,ヤクルト,1,0,0,1,0,1,0,0,,,,,3,6,2,
西武/阪神,06/14,西武,1,0,3,0,0,0,0,0,0,,,,4,7,0,
西武/阪神,06/14,阪神,0,0,0,0,2,0,0,0,0,,,,2,8,0,
日本ハム/中日,06/14,日本ハム,0,1,0,0,0,3,1,0,0,0,0,2,7,15,0,
日本ハム/中日,06/14,中日,4,0,0,0,0,0,0,0,1,0,0,0,5,6,0,
オリックス/広島,06/15,オリックス,0,0,0,2,0,0,0,0,0,,,,2,8,1,
オリックス/広島,06/15,広島,5,0,0,0,0,1,0,1,,,,,7,9,0,
ソフトバンク/巨人,06/15,ソフトバンク,0,0,1,1,0,1,1,3,0,,,,7,14,0,
ソフトバンク/巨人,06/15,巨人,0,0,0,0,1,0,0,2,0,,,,3,14,1,
ロッテ/ＤｅＮＡ,06/15,ロッテ,0,1,0,1,0,0,0,0,0,,,,2,3,0,
ロッテ/ＤｅＮＡ,06/15,ＤｅＮＡ,1,0,0,0,4,0,1,0,,,,,6,9,0,
楽天/ヤクルト,06/15,楽天,0,0,0,1,0,0,0,0,1,,,,2,4,1,
楽天/ヤクルト,06/15,ヤクルト,0,0,0,0,1,3,2,0,,,,,6,8,0,
西武/阪神,06/15,西武,0,0,0,2,0,0,0,0,0,0,,,2,6,2,
西武/阪神,06/15,阪神,1,0,0,0,0,1,0,0,0,1,,,3,13,0,
日本ハム/中日,06/15,日本ハム,0,0,0,0,2,1,0,2,0,,,,5,8,0,
日本ハム/中日,06/15,中日,0,0,0,0,1,2,0,1,0,,,,4,9,1,
オリックス/ＤｅＮＡ,06/16,オリックス,0,0,2,0,0,0,0,1,0,,,,3,10,0,
オリックス/ＤｅＮＡ,06/16,ＤｅＮＡ,1,0,1,1,0,0,0,3,,,,,6,8,1,
ソフトバンク/広島,06/16,ソフトバンク,2,0,2,1,0,0,0,0,0,,,,5,6,0,
ソフトバンク/広島,06/16,広島,1,0,0,1,0,1,0,0,0,,,,3,9,0,
ロッテ/巨人,06/16,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,2,1,
ロッテ/巨人,06/16,巨人,2,0,0,0,2,0,0,4,,,,,8,11,1,
楽天/阪神,06/16,楽天,0,0,1,0,0,0,0,0,1,,,,2,2,1,
楽天/阪神,06/16,阪神,0,2,0,0,0,0,0,2,,,,,4,8,0,
西武/中日,06/16,西武,0,0,0,2,2,1,0,0,4,,,,9,13,1,
西武/中日,06/16,中日,0,0,1,0,0,0,0,0,0,,,,1,5,0,
日本ハム/ヤクルト,06/16,日本ハム,0,1,0,1,1,0,0,2,0,,,,5,9,2,
日本ハム/ヤクルト,06/16,ヤクルト,0,1,0,0,2,0,0,5,,,,,8,7,1,
オリックス/ＤｅＮＡ,06/17,オリックス,0,0,0,2,0,1,2,0,0,,,,5,12,0,
オリックス/ＤｅＮＡ,06/17,ＤｅＮＡ,0,0,1,0,0,5,7,1,,,,,14,15,0,
ソフトバンク/広島,06/17,ソフトバンク,1,0,0,1,0,0,0,0,0,,,,2,9,1,
ソフトバンク/広島,06/17,広島,0,0,0,2,0,0,0,1,,,,,3,7,0,
ロッテ/巨人,06/17,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,4,1,
ロッテ/巨人,06/17,巨人,0,0,2,1,0,1,1,3,,,,,8,14,0,
楽天/阪神,06/17,楽天,1,0,1,0,0,0,0,6,0,,,,8,10,0,
楽天/阪神,06/17,阪神,0,0,0,2,0,0,0,0,0,,,,2,8,1,
西武/中日,06/17,西武,0,0,0,0,1,0,0,0,0,,,,1,2,1,
西武/中日,06/17,中日,0,2,0,1,0,0,0,1,,,,,4,8,0,
日本ハム/ヤクルト,06/17,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,4,1,
日本ハム/ヤクルト,06/17,ヤクルト,0,0,3,1,0,0,1,0,,,,,5,9,0,
ソフトバンク/広島,06/18,ソフトバンク,1,3,0,0,1,0,0,2,0,,,,7,9,0,
ソフトバンク/広島,06/18,広島,1,1,0,0,0,0,0,0,2,,,,4,9,2,
ロッテ/巨人,06/18,ロッテ,0,0,0,0,1,0,0,2,0,0,0,2,5,10,0,
ロッテ/巨人,06/18,巨人,0,1,1,1,0,0,0,0,0,0,0,4,7,9,1,
楽天/阪神,06/18,楽天,0,0,0,0,0,1,0,0,0,,,,1,5,0,
楽天/阪神,06/18,阪神,0,0,0,0,0,0,0,0,0,,,,0,10,0,
西武/中日,06/18,西武,1,0,0,0,0,2,0,0,0,,,,3,7,1,
西武/中日,06/18,中日,2,0,1,0,0,0,1,0,,,,,4,8,0,
日本ハム/ヤクルト,06/18,日本ハム,0,0,0,2,0,2,2,0,0,,,,6,10,3,
日本ハム/ヤクルト,06/18,ヤクルト,0,0,0,0,0,0,0,0,3,,,,3,5,0,
オリックス/ＤｅＮＡ,06/19,オリックス,0,0,0,0,0,0,3,4,0,,,,7,11,1,
オリックス/ＤｅＮＡ,06/19,ＤｅＮＡ,0,0,0,1,0,3,0,0,0,,,,4,9,0,
ＤｅＮＡ/ヤクルト,06/23,ＤｅＮＡ,0,0,0,1,4,0,0,0,2,0,,,7,12,0,
ＤｅＮＡ/ヤクルト,06/23,ヤクルト,0,0,1,0,0,4,0,2,0,1,,,8,14,0,
ロッテ/オリックス,06/23,ロッテ,2,0,0,0,0,0,3,0,4,,,,9,16,1,
ロッテ/オリックス,06/23,オリックス,0,2,0,0,0,0,1,0,0,,,,3,7,0,
楽天/日本ハム,06/23,楽天,0,0,0,0,3,0,0,0,0,,,,3,7,0,
楽天/日本ハム,06/23,日本ハム,0,0,0,2,2,0,3,0,,,,,7,10,0,
阪神/広島,06/23,阪神,0,0,1,0,0,0,0,2,0,,,,3,11,1,
阪神/広島,06/23,広島,3,0,2,0,8,0,0,0,,,,,13,17,0,
西武/ソフトバンク,06/23,西武,0,0,0,0,0,0,0,0,0,,,,0,7,1,
西武/ソフトバンク,06/23,ソフトバンク,1,5,1,2,0,1,0,0,,,,,10,11,0,
中日/巨人,06/23,中日,0,0,0,1,0,0,0,0,0,,,,1,6,0,
中日/巨人,06/23,巨人,0,0,0,0,0,0,0,0,0,,,,0,4,0,
ＤｅＮＡ/ヤクルト,06/24,ＤｅＮＡ,2,0,0,0,2,1,0,0,0,,,,5,7,1,
ＤｅＮＡ/ヤクルト,06/24,ヤクルト,0,0,0,0,0,0,0,0,1,,,,1,7,1,
ロッテ/オリックス,06/24,ロッテ,1,0,0,0,0,0,0,0,0,,,,1,8,0,
ロッテ/オリックス,06/24,オリックス,0,0,0,1,0,0,0,1,,,,,2,4,0,
楽天/日本ハム,06/24,楽天,1,0,0,0,0,0,0,0,0,0,1,,2,8,0,
楽天/日本ハム,06/24,日本ハム,1,0,0,0,0,0,0,0,0,0,0,,1,9,1,
西武/ソフトバンク,06/24,西武,0,0,0,3,0,0,0,0,0,,,,3,8,0,
西武/ソフトバンク,06/24,ソフトバンク,0,1,0,0,0,1,0,0,0,,,,2,6,0,
中日/巨人,06/24,中日,0,0,1,1,0,0,5,0,1,,,,8,17,0,
中日/巨人,06/24,巨人,0,0,0,0,0,0,0,0,2,,,,2,4,2,
ＤｅＮＡ/ヤクルト,06/25,ＤｅＮＡ,0,0,1,1,0,0,4,0,0,,,,6,11,0,
ＤｅＮＡ/ヤクルト,06/25,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,4,0,
ロッテ/オリックス,06/25,ロッテ,0,1,0,0,0,0,0,0,0,,,,1,7,1,
ロッテ/オリックス,06/25,オリックス,0,0,0,1,0,2,0,2,,,,,5,9,1,
楽天/日本ハム,06/25,楽天,3,0,0,0,1,0,0,2,0,,,,6,10,0,
楽天/日本ハム,06/25,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,5,2,
阪神/広島,06/25,阪神,0,0,0,0,0,0,0,0,0,,,,0,8,1,
阪神/広島,06/25,広島,1,0,0,3,0,0,0,1,,,,,5,7,0,
西武/ソフトバンク,06/25,西武,0,0,1,4,0,0,0,1,0,,,,6,10,0,
西武/ソフトバンク,06/25,ソフトバンク,1,0,0,0,0,2,1,1,2,,,,7,13,0,
中日/巨人,06/25,中日,0,0,0,1,0,2,0,0,0,,,,3,9,0,
中日/巨人,06/25,巨人,0,0,0,0,1,1,0,0,2,,,,4,8,0,
オリックス/楽天,06/26,オリックス,0,0,0,2,0,0,2,0,0,0,0,0,4,10,2,
オリックス/楽天,06/26,楽天,0,0,0,0,0,2,0,0,2,0,0,0,4,10,0,
巨人/ヤクルト,06/27,巨人,0,0,0,2,1,0,1,0,0,,,,4,7,3,
巨人/ヤクルト,06/27,ヤクルト,0,1,0,0,2,0,0,0,0,,,,3,6,0,
広島/ＤｅＮＡ,06/27,広島,0,1,1,0,0,0,2,0,0,,,,4,8,0,
広島/ＤｅＮＡ,06/27,ＤｅＮＡ,1,0,1,0,0,1,0,0,0,,,,3,7,0,
阪神/中日,06/27,阪神,0,0,0,0,0,0,1,0,0,,,,1,4,0,
阪神/中日,06/27,中日,1,0,0,1,0,0,0,1,,,,,3,6,1,
日本ハム/ソフトバンク,06/27,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,1,0,
日本ハム/ソフトバンク,06/27,ソフトバンク,2,0,0,4,0,0,0,0,,,,,6,7,0,
オリックス/楽天,06/28,オリックス,0,0,1,0,0,0,0,1,0,,,,2,9,1,
オリックス/楽天,06/28,楽天,1,0,2,0,0,0,0,0,,,,,3,9,0,
ロッテ/西武,06/28,ロッテ,0,0,1,0,0,2,0,0,0,0,1,,4,7,0,
ロッテ/西武,06/28,西武,0,0,0,0,1,0,2,0,0,0,0,,3,7,1,
巨人/ヤクルト,06/28,巨人,0,0,0,0,0,2,0,0,0,,,,2,7,0,
巨人/ヤクルト,06/28,ヤクルト,1,0,0,3,0,0,0,0,,,,,4,6,1,
広島/ＤｅＮＡ,06/28,広島,3,0,1,1,0,0,1,0,2,,,,8,12,0,
広島/ＤｅＮＡ,06/28,ＤｅＮＡ,0,0,4,3,2,2,0,0,,,,,11,14,1,
阪神/中日,06/28,阪神,0,0,0,0,0,0,0,0,0,,,,0,2,1,
阪神/中日,06/28,中日,0,0,0,0,0,1,0,0,,,,,1,3,0,
日本ハム/ソフトバンク,06/28,日本ハム,0,0,3,0,1,0,0,1,0,,,,5,13,0,
日本ハム/ソフトバンク,06/28,ソフトバンク,0,2,1,1,1,0,0,1,,,,,6,8,1,
阪神/中日,06/29,阪神,0,0,0,0,0,0,0,0,0,,,,0,4,1,
阪神/中日,06/29,中日,1,0,0,0,0,0,1,0,,,,,2,9,0,
日本ハム/ソフトバンク,06/29,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,6,1,
日本ハム/ソフトバンク,06/29,ソフトバンク,1,0,0,0,0,0,0,0,,,,,1,5,0,
ＤｅＮＡ/巨人,06/30,ＤｅＮＡ,0,0,0,1,0,0,2,0,0,,,,3,2,0,
ＤｅＮＡ/巨人,06/30,巨人,0,0,0,1,0,0,0,0,0,,,,1,5,0,
オリックス/西武,06/30,オリックス,0,0,1,0,2,0,0,0,0,,,,3,13,2,
オリックス/西武,06/30,西武,0,0,0,0,0,0,0,0,0,,,,0,4,1,
ソフトバンク/楽天,06/30,ソフトバンク,0,1,0,0,2,0,0,0,0,,,,3,11,0,
ソフトバンク/楽天,06/30,楽天,3,0,1,0,0,0,0,0,,,,,4,5,0,
ヤクルト/阪神,06/30,ヤクルト,0,0,0,0,4,0,0,0,0,,,,4,3,3,
ヤクルト/阪神,06/30,阪神,0,1,0,0,1,0,1,0,0,,,,3,7,0,
中日/広島,06/30,中日,1,1,0,1,0,0,0,0,0,,,,3,9,1,
中日/広島,06/30,広島,0,3,0,0,0,1,4,0,,,,,8,11,1,
日本ハム/ロッテ,06/30,日本ハム,0,0,0,0,0,0,6,1,0,,,,7,9,0,
日本ハム/ロッテ,06/30,ロッテ,1,0,0,0,0,0,0,0,3,,,,4,11,1,
ＤｅＮＡ/巨人,07/01,ＤｅＮＡ,2,0,0,0,0,0,0,0,4,,,,6,9,0,
ＤｅＮＡ/巨人,07/01,巨人,1,0,0,0,0,0,0,3,0,,,,4,8,1,
オリックス/西武,07/01,オリックス,0,4,0,0,0,0,0,0,0,,,,4,11,0,
オリックス/西武,07/01,西武,0,0,1,0,0,0,1,0,0,,,,2,6,0,
ソフトバンク/楽天,07/01,ソフトバンク,2,0,0,0,7,1,0,0,0,,,,10,16,2,
ソフトバンク/楽天,07/01,楽天,0,0,4,0,4,0,1,0,0,,,,9,12,0,
ヤクルト/阪神,07/01,ヤクルト,0,0,0,1,0,0,0,0,0,,,,1,5,1,
ヤクルト/阪神,07/01,阪神,0,0,3,0,0,0,0,0,,,,,3,7,1,
中日/広島,07/01,中日,0,0,0,0,0,1,0,0,0,,,,1,7,1,
中日/広島,07/01,広島,0,1,4,0,1,2,0,0,,,,,8,12,0,
日本ハム/ロッテ,07/01,日本ハム,0,0,0,0,0,0,3,0,0,,,,3,6,0,
日本ハム/ロッテ,07/01,ロッテ,0,0,1,0,2,4,0,0,,,,,7,12,3,
ＤｅＮＡ/巨人,07/02,ＤｅＮＡ,0,3,2,1,0,1,1,0,1,,,,9,19,0,
ＤｅＮＡ/巨人,07/02,巨人,0,0,0,0,1,0,0,0,0,,,,1,8,0,
オリックス/西武,07/02,オリックス,0,1,0,1,3,0,0,1,0,,,,6,13,1,
