FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
ヤクルト/広島,04/09,広島,0,0,1,0,0,0,5,0,,,,,6,8,0,
楽天/ロッテ,04/09,楽天,2,0,0,1,0,0,0,1,0,,,,4,12,0,
楽天/ロッテ,04/09,ロッテ,0,0,0,0,0,1,0,0,0,,,,1,4,0,
巨人/阪神,04/09,巨人,0,0,0,0,0,0,3,0,0,,,,3,8,0,
巨人/阪神,04/09,阪神,0,1,0,0,0,0,2,1,,,,,4,6,0,
日本ハム/オリックス,04/09,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,5,0,
日本ハム/オリックス,04/09,オリックス,0,0,0,0,1,0,1,0,,,,,2,7,0,
ソフトバンク/日本ハム,04/11,ソフトバンク,0,0,1,0,2,0,0,0,0,,,,3,9,0,
ソフトバンク/日本ハム,04/11,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,6,0,
ロッテ/オリックス,04/11,ロッテ,0,0,0,0,0,0,1,0,0,,,,1,7,1,
ロッテ/オリックス,04/11,オリックス,2,0,3,3,0,0,0,3,,,,,11,14,0,
広島/巨人,04/11,広島,0,0,0,0,0,6,3,0,0,,,,9,14,2,
広島/巨人,04/11,巨人,0,0,1,0,2,3,0,0,0,,,,6,11,0,
ソフトバンク/日本ハム,04/12,ソフトバンク,1,0,1,0,0,0,0,1,0,,,,3,11,0,
ソフトバンク/日本ハム,04/12,日本ハム,1,0,0,0,3,0,0,0,,,,,4,8,0,
ロッテ/オリックス,04/12,ロッテ,3,0,0,1,0,2,0,0,0,,,,6,7,1,
ロッテ/オリックス,04/12,オリックス,0,0,1,2,0,0,1,0,0,,,,4,9,2,
広島/巨人,04/12,広島,0,2,4,0,1,0,0,2,0,,,,9,11,0,
広島/巨人,04/12,巨人,2,0,0,0,3,0,0,0,0,,,,5,6,0,
阪神/ＤｅＮＡ,04/12,阪神,1,0,0,6,1,0,0,0,0,,,,8,11,1,
阪神/ＤｅＮＡ,04/12,ＤｅＮＡ,0,3,0,0,0,0,2,0,1,,,,6,13,0,
西武/楽天,04/12,西武,0,0,2,2,2,1,0,0,3,,,,10,15,1,
西武/楽天,04/12,楽天,3,0,0,0,0,0,0,0,2,,,,5,11,1,
中日/ヤクルト,04/12,中日,0,2,0,0,0,0,0,0,0,3,,,5,8,1,
中日/ヤクルト,04/12,ヤクルト,0,0,0,0,0,0,2,0,0,0,,,2,4,0,
ソフトバンク/日本ハム,04/13,ソフトバンク,0,0,0,1,0,0,0,1,0,,,,2,3,0,
ソフトバンク/日本ハム,04/13,日本ハム,1,1,0,1,0,0,0,0,,,,,3,9,1,
ロッテ/オリックス,04/13,ロッテ,0,0,0,0,0,0,3,0,0,,,,3,5,0,
ロッテ/オリックス,04/13,オリックス,0,0,0,0,0,1,0,0,1,,,,2,9,0,
広島/巨人,04/13,広島,4,0,0,0,0,0,0,0,7,,,,11,12,1,
広島/巨人,04/13,巨人,3,0,1,0,1,0,0,0,0,,,,5,9,1,
阪神/ＤｅＮＡ,04/13,阪神,0,0,0,0,0,1,0,0,3,,,,4,9,0,
阪神/ＤｅＮＡ,04/13,ＤｅＮＡ,0,0,0,0,0,1,0,0,0,,,,1,6,0,
中日/ヤクルト,04/13,中日,0,2,0,0,0,0,0,0,0,,,,2,7,0,
中日/ヤクルト,04/13,ヤクルト,0,0,1,0,0,1,0,0,1,,,,3,8,1,
オリックス/ソフトバンク,04/14,オリックス,4,0,1,0,0,1,1,2,0,,,,9,10,0,
オリックス/ソフトバンク,04/14,ソフトバンク,0,0,0,0,0,0,0,0,0,,,,0,2,0,
ヤクルト/ＤｅＮＡ,04/14,ヤクルト,0,0,0,1,0,0,0,1,1,0,,,3,7,0,
ヤクルト/ＤｅＮＡ,04/14,ＤｅＮＡ,1,0,0,1,0,0,0,1,0,1,,,4,9,0,
巨人/中日,04/14,巨人,0,0,0,0,0,0,0,2,0,0,0,0,2,8,1,
巨人/中日,04/14,中日,0,0,0,0,0,0,2,0,0,0,0,1,3,13,2,
広島/阪神,04/14,広島,0,0,0,1,0,0,0,1,0,,,,2,9,1,
広島/阪神,04/14,阪神,0,0,3,0,0,0,0,1,,,,,4,7,0,
