自TM,相手TM,球場,日付,HA,ナ,先,順,途,交,CB,捕逸,代点,守備,名前,打率,打数,得点,安打,打点,三振,四死,犠打,盗塁,失策,本塁打,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回
広島,中日,ナゴヤドーム,4/6,1,1,7,7,,,0,0,0,(三),小窪哲也,.000,4,0,0,0,0,0,0,0,0,0,,,左飛,中飛,,,二併打,,,三直,,
広島,中日,ナゴヤドーム,4/6,1,1,8,8,,,0,0,0,(捕),會澤翼,.125,4,0,0,0,0,0,0,0,0,0,,,遊ゴロ,,二飛,,右飛,,,遊ゴロ,,
広島,中日,ナゴヤドーム,4/6,1,1,9,9,,投,0,0,0,(投),大瀬良大地,.000,2,0,0,0,2,0,0,0,0,0,,,空三振,,見三振,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,投,打,0,0,0,投,今村猛,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,打,投,0,0,0,打,安部友裕,.286,1,0,0,0,0,0,0,0,0,0,,,,,,,,左飛,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,投,投,0,0,0,投,ジャクソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,投,投,0,0,0,投,中﨑翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,投,打,0,0,0,投,薮田和樹,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,9,打,,0,0,0,打一,堂林翔太,.250,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,三ゴロ,
広島,ヤクルト,マツダスタジアム,4/7,0,1,1,1,,,0,0,0,(遊),田中広輔,.345,3,0,0,0,1,1,0,0,0,0,遊直,死球,,一ゴロ,,,空三振,,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,2,2,,,0,0,0,(二),菊池涼介,.226,3,0,0,0,1,1,0,0,0,0,右飛,空三振,,三ゴロ,,,四球,,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,3,3,,,0,0,0,(中),丸佳浩,.423,4,1,2,0,0,0,0,0,0,0,右２,,二ゴロ,,中安,,二併打,,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,4,4,,,0,0,0,(一),新井貴浩,.308,4,1,2,1,0,0,0,0,0,0,左２,,左安,,三ゴロ,,,遊直,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,5,5,,,0,0,0,(右),鈴木誠也,.375,3,2,2,0,0,1,0,0,0,0,四球,,左安,,三ゴロ,,,左安,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,6,6,,走,0,0,0,(左),エルドレッド,.429,3,0,0,0,0,1,0,0,0,0,遊ゴロ,,遊ゴロ,,一邪飛,,,四球,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,,6,走,,0,0,0,走左,天谷宗一郎,.200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,7,7,,,0,0,0,(三),小窪哲也,.111,4,0,2,2,1,0,0,1,0,0,,空三振,左安,,,中飛,,中安,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,8,8,,,0,0,0,(捕),石原慶幸,.182,3,0,0,1,0,0,0,0,0,0,,三ゴロ,中飛,,,一邪飛,,右犠飛,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,9,9,,投,0,0,0,(投),加藤拓也,.000,3,0,0,0,3,1,0,0,0,0,,四球,,空三振,,空三振,,見三振,,,,
広島,ヤクルト,マツダスタジアム,4/7,0,1,,9,投,,0,0,0,投,中﨑翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,1,1,,,0,0,0,(遊),田中広輔,.364,4,0,2,0,0,0,0,0,0,0,一ゴロ,,左安,,左安,,三ゴロ,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,2,2,,,0,0,0,(二),菊池涼介,.206,3,0,0,0,0,1,0,0,0,0,二直,,中飛,,四球,,,中飛,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,3,3,,,0,0,0,(中),丸佳浩,.367,4,0,0,0,3,0,0,0,0,0,二ゴロ,,見三振,,空三振,,,空三振,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,4,4,,投,0,0,0,(一),新井貴浩,.300,4,1,1,0,0,0,0,1,0,0,,左安,,遊ゴロ,,右飛,,二ゴロ,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,,4,投,,0,0,0,投,ジャクソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,5,5,,,0,0,0,(右),鈴木誠也,.343,3,0,0,0,2,0,0,0,0,0,,空三振,,三ゴロ,,空三振,,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,6,6,,,0,0,0,(左一),エルドレッド,.435,2,0,1,0,0,1,0,0,0,0,,四球,,左安,,二飛,,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,7,7,,,0,0,0,(三),安部友裕,.294,3,1,1,0,0,0,0,1,0,0,,二ゴロ,,二ゴロ,,,右２,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,8,8,,,0,0,0,(捕),石原慶幸,.214,3,0,1,1,2,0,0,0,0,0,,右安,,,空三振,,空三振,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,9,9,,守,0,0,0,(投),岡田明丈,.000,3,0,0,0,3,0,0,0,0,0,,空三振,,,空三振,,空三振,,,,,
広島,ヤクルト,マツダスタジアム,4/8,0,0,,9,守,,0,0,0,左,天谷宗一郎,.200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,1,1,,,0,0,0,(遊),田中広輔,.395,5,2,3,0,1,0,0,1,0,0,左安,,中３,,右２,,遊失,空三振,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,2,2,,,0,0,0,(二),菊池涼介,.189,3,1,0,0,0,0,1,0,0,0,左飛,,右飛,,一犠打,,左失,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,3,3,,,0,0,0,(中),丸佳浩,.382,4,1,2,2,0,0,0,0,0,0,中飛,,中安,,遊飛,,中安,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,4,4,,走,0,0,0,(一),新井貴浩,.333,3,0,2,1,0,1,0,0,0,0,四球,,左安,,遊ゴロ,,右安,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,4,走,,0,0,0,走一,堂林翔太,.250,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
