自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
阪神,巨人,東京ドーム,8/9,,0,0,0,0,0,215,1,1,9,1,0,0 2/3,,岩崎優,2.15,0.2,5,18,1,0,0,2,3,3,
阪神,巨人,東京ドーム,8/9,,0,0,0,0,0,215,1,1,9,1,0,0 1/3,,マテオ,2.43,0.1,3,9,1,0,1,1,0,0,
阪神,巨人,東京ドーム,8/9,,0,0,0,0,0,215,1,1,9,2,0,1    ,○,髙橋聡文,1.67,1,3,18,0,0,1,0,0,0,
阪神,巨人,東京ドーム,8/9,,0,0,0,0,0,215,1,1,9,2,0,1    ,S,ドリス,3.02,1,3,11,0,0,0,0,0,0,
阪神,巨人,東京ドーム,8/10,1,0,0,0,0,0,217,1,1,9,7,2,6    ,,メッセンジャー,2.46,6,22,111,4,1,6,1,2,2,
阪神,巨人,東京ドーム,8/10,,0,0,0,0,0,217,1,1,9,2,0,1    ,H,桑原謙太朗,0.96,1,5,15,1,0,0,1,0,0,
阪神,巨人,東京ドーム,8/10,,0,0,0,0,0,217,1,1,9,2,0,1    ,●,マテオ,2.81,1,8,28,2,0,2,2,3,2,
阪神,ＤｅＮＡ,横浜,8/11,1,0,0,0,0,0,219,1,1,9,8,8,7    ,○,岩田稔,2.60,7,26,99,3,0,4,2,1,1,
阪神,ＤｅＮＡ,横浜,8/11,,0,0,0,0,0,219,1,1,9,2,0,1    ,,メンデス,1.29,1,4,20,0,0,1,1,0,0,
阪神,ＤｅＮＡ,横浜,8/11,,0,0,0,0,0,219,1,1,9,2,0,1    ,,石崎剛,0.00,1,4,14,1,0,1,0,0,0,
阪神,ＤｅＮＡ,横浜,8/12,1,0,0,0,0,0,221,1,1,10,7,0,6    ,,能見篤史,3.57,6,25,74,8,1,7,0,1,1,
阪神,ＤｅＮＡ,横浜,8/12,,0,0,0,0,0,221,1,1,10,2,0,1    ,,岩崎優,2.11,1,4,15,1,0,1,0,0,0,
阪神,ＤｅＮＡ,横浜,8/12,,0,0,0,0,0,221,1,1,10,1,0,0    ,,髙橋聡文,1.67,0,1,4,1,0,0,0,0,0,
阪神,ＤｅＮＡ,横浜,8/12,,0,0,0,0,0,221,1,1,10,2,0,1    ,H,桑原謙太朗,0.94,1,5,22,1,0,1,1,0,0,
阪神,ＤｅＮＡ,横浜,8/12,,0,0,0,0,0,221,1,1,10,2,0,1    ,○,マテオ,2.74,1,4,15,1,0,2,0,0,0,
阪神,ＤｅＮＡ,横浜,8/12,,0,0,0,0,0,221,1,1,10,2,0,1    ,S,ドリス,2.95,1,4,16,1,0,2,0,0,0,
阪神,ＤｅＮＡ,横浜,8/13,1,0,0,0,0,0,223,1,1,9,3,1,2    ,●,松田遼馬,5.05,2,12,50,4,0,1,2,3,3,
阪神,ＤｅＮＡ,横浜,8/13,,0,0,0,0,0,223,1,1,9,2,0,1    ,,藤川球児,3.25,1,5,21,1,0,2,1,0,0,
阪神,ＤｅＮＡ,横浜,8/13,,0,0,0,0,0,223,1,1,9,3,0,2    ,,岩崎優,2.57,2,9,28,3,1,3,0,3,3,
阪神,ＤｅＮＡ,横浜,8/13,,0,0,0,0,0,223,1,1,9,2,0,1    ,,メンデス,3.38,1,5,15,2,1,1,0,2,2,
阪神,ＤｅＮＡ,横浜,8/13,,0,0,0,0,0,223,1,1,9,3,0,2    ,,石崎剛,0.00,2,7,27,1,0,3,0,0,0,
阪神,広島,京セラD大阪,8/15,1,0,0,0,0,0,226,0,1,9,2,2,2 1/3,●,小野泰己,5.18,2.1,16,72,7,1,0,2,5,5,
阪神,広島,京セラD大阪,8/15,,0,0,0,0,1,226,0,1,9,1,0,1 2/3,,メンデス,6.52,1.2,12,47,5,0,0,2,6,4,
阪神,広島,京セラD大阪,8/15,,0,0,0,0,0,226,0,1,9,2,0,2    ,,石崎剛,0.00,2,7,34,0,0,4,1,0,0,
阪神,広島,京セラD大阪,8/15,,0,0,0,0,0,226,0,1,9,2,0,2    ,,藤川球児,3.08,2,8,48,1,0,1,3,0,0,
阪神,広島,京セラD大阪,8/15,,0,0,0,0,0,226,0,1,9,1,0,1    ,,岩崎優,2.52,1,4,14,1,0,2,0,0,0,
阪神,広島,京セラD大阪,8/16,1,0,0,0,0,0,228,0,1,9,4,0,4 2/3,●,藤浪晋太郎,2.98,4.2,26,107,7,0,4,7,3,3,
阪神,広島,京セラD大阪,8/16,,0,0,0,0,0,228,0,1,9,1,0,1 1/3,,岩崎優,2.45,1.1,4,22,0,0,2,0,0,0,
阪神,広島,京セラD大阪,8/16,,0,0,0,0,0,228,0,1,9,0,0,0 2/3,,髙橋聡文,2.18,0.2,4,18,1,0,1,1,2,2,
阪神,広島,京セラD大阪,8/16,,0,0,0,0,0,228,0,1,9,0,0,0 1/3,,桑原謙太朗,0.93,0.1,3,10,2,0,0,0,0,0,
阪神,広島,京セラD大阪,8/16,,0,0,0,0,0,228,0,1,9,1,0,1    ,,石崎剛,0.00,1,4,20,0,0,3,1,0,0,
阪神,広島,京セラD大阪,8/16,,0,0,0,0,0,228,0,1,9,1,0,1    ,,藤川球児,3.00,1,4,24,0,0,2,1,0,0,
阪神,広島,京セラD大阪,8/17,1,0,0,0,1,0,230,0,1,9,5,4,5 1/3,,岩田稔,3.57,5.1,23,90,5,0,3,3,4,4,
阪神,広島,京セラD大阪,8/17,,0,0,0,0,0,230,0,1,9,0,0,0 2/3,,桑原謙太朗,0.92,0.2,3,10,1,0,1,0,0,0,
阪神,広島,京セラD大阪,8/17,,0,0,0,0,0,230,0,1,9,1,0,1    ,H,髙橋聡文,2.12,1,5,27,1,0,2,1,0,0,
阪神,広島,京セラD大阪,8/17,,0,0,0,0,0,230,0,1,9,1,0,1    ,H,マテオ,2.68,1,4,19,1,0,2,0,0,0,
阪神,広島,京セラD大阪,8/17,,0,0,0,0,0,230,0,1,9,1,0,1    ,○,ドリス,2.89,1,3,12,0,0,2,0,0,0,
阪神,中日,ナゴヤドーム,8/18,1,0,0,0,0,0,231,1,1,9,8,10,7    ,○,秋山拓巳,2.91,7,26,105,5,1,5,0,2,2,
阪神,中日,ナゴヤドーム,8/18,,0,0,0,0,0,231,1,1,9,3,0,2    ,,伊藤和雄,4.63,2,8,35,3,1,3,0,2,2,
阪神,中日,ナゴヤドーム,8/19,1,0,0,0,0,0,233,1,0,9,8,7,7 1/3,○,青柳晃洋,2.68,7.1,26,103,3,0,5,2,1,1,
阪神,中日,ナゴヤドーム,8/19,,0,0,0,0,0,233,1,0,9,1,0,0 2/3,,石崎剛,0.00,0.2,2,10,0,0,1,0,0,0,
阪神,中日,ナゴヤドーム,8/19,,0,0,0,0,0,233,1,0,9,2,0,1    ,,藤川球児,2.93,1,3,11,0,0,1,0,0,0,
阪神,中日,ナゴヤドーム,8/20,1,0,0,0,0,0,235,1,0,11,6,2,5    ,,能見篤史,3.57,5,25,94,8,1,7,2,2,2,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,1,0,0 2/3,H,石崎剛,0.00,0.2,4,12,0,0,0,2,0,0,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,1,0,0 1/3,H,髙橋聡文,2.10,0.1,1,4,0,0,1,0,0,0,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,2,0,1    ,H,桑原謙太朗,0.90,1,3,11,0,0,1,0,0,0,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,2,0,1    ,H,マテオ,2.62,1,3,12,0,0,1,0,0,0,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,2,0,1    ,H,岩崎優,2.41,1,3,16,0,0,3,0,0,0,
阪神,中日,ナゴヤドーム,8/20,,0,0,0,0,0,235,1,0,11,3,0,2    ,○,ドリス,2.76,2,7,26,1,0,3,0,0,0,
阪神,ヤクルト,神宮,8/22,1,0,0,0,0,0,237,1,1,9,4,2,3 1/3,,小野泰己,5.49,3.1,16,56,6,1,3,1,4,4,
阪神,ヤクルト,神宮,8/22,,0,0,0,1,0,237,1,1,9,2,0,1 2/3,,石崎剛,0.00,1.2,8,30,1,0,0,2,0,0,
阪神,ヤクルト,神宮,8/22,,0,0,0,0,0,237,1,1,9,3,0,2    ,H,岩崎優,2.32,2,8,28,1,0,1,1,0,0,
阪神,ヤクルト,神宮,8/22,,0,0,0,0,0,237,1,1,9,2,0,1    ,H,髙橋聡文,2.04,1,5,24,2,0,2,0,0,0,
阪神,ヤクルト,神宮,8/22,,0,0,0,0,0,237,1,1,9,1,0,0 2/3,●,桑原謙太朗,1.07,0.2,4,19,2,0,0,1,1,1,
阪神,ヤクルト,神宮,8/23,1,0,0,0,1,1,239,1,1,9,5,5,4 2/3,,岩田稔,4.28,4.2,26,101,10,2,1,3,4,4,
阪神,ヤクルト,神宮,8/23,,0,0,0,0,0,239,1,1,9,2,0,1 1/3,○,藤川球児,2.83,1.1,4,30,1,0,1,0,0,0,
阪神,ヤクルト,神宮,8/23,,0,0,0,0,0,239,1,1,9,2,0,1    ,H,マテオ,2.56,1,3,16,0,0,1,0,0,0,
阪神,ヤクルト,神宮,8/23,,0,0,0,0,0,239,1,1,9,2,0,1    ,H,桑原謙太朗,1.05,1,3,16,0,0,2,0,0,0,
阪神,ヤクルト,神宮,8/23,,0,0,0,0,0,239,1,1,9,2,0,1    ,S,ドリス,2.70,1,3,15,1,0,0,0,0,0,
阪神,ヤクルト,神宮,8/24,1,0,0,0,0,0,241,1,1,9,9,6,8    ,○,秋山拓巳,2.87,8,29,92,5,1,6,0,3,2,
阪神,ヤクルト,神宮,8/24,,0,0,0,0,0,241,1,1,9,2,0,1    ,S,ドリス,2.64,1,3,10,0,0,1,0,0,0,
阪神,巨人,東京ドーム,8/25,1,0,0,0,0,0,243,1,1,9,5,3,4 2/3,●,青柳晃洋,3.24,4.2,21,79,6,1,3,2,5,5,
阪神,巨人,東京ドーム,8/25,,0,0,0,0,0,243,1,1,9,1,0,0 1/3,,岩崎優,2.47,0.1,4,18,3,0,1,0,1,1,
阪神,巨人,東京ドーム,8/25,,0,0,0,0,0,243,1,1,9,3,0,2    ,,石崎剛,0.00,2,8,27,1,0,2,1,0,0,
阪神,巨人,東京ドーム,8/25,,0,0,0,0,0,243,1,1,9,2,0,1    ,,伊藤和雄,4.26,1,3,16,0,0,2,0,0,0,
阪神,巨人,東京ドーム,8/26,1,0,0,0,1,0,245,1,1,9,6,5,5    ,○,能見篤史,3.66,5,20,78,5,0,6,1,3,3,
阪神,巨人,東京ドーム,8/26,,0,0,0,0,0,245,1,1,9,2,0,1 2/3,H,桑原謙太朗,1.01,1.2,5,16,0,0,1,0,0,0,
阪神,巨人,東京ドーム,8/26,,0,0,0,0,0,245,1,1,9,1,0,0 1/3,,髙橋聡文,2.02,0.1,1,4,0,0,1,0,0,0,
阪神,巨人,東京ドーム,8/26,,0,0,0,0,0,245,1,1,9,2,0,1    ,,マテオ,2.70,1,6,20,3,0,0,0,1,1,
阪神,巨人,東京ドーム,8/26,,0,0,0,0,0,245,1,1,9,2,0,1    ,,ドリス,2.59,1,3,13,0,0,2,0,0,0,
阪神,巨人,東京ドーム,8/27,1,0,0,0,1,0,247,1,0,9,7,0,6 1/3,●,藤浪晋太郎,3.14,6.1,25,106,3,0,9,4,3,3,
阪神,巨人,東京ドーム,8/27,,0,0,0,0,0,247,1,0,9,1,0,0    ,,桑原謙太朗,1.52,0,3,7,3,0,0,0,3,3,
阪神,巨人,東京ドーム,8/27,,0,0,0,0,0,247,1,0,9,1,0,0 2/3,,石崎剛,0.00,0.2,4,20,0,0,0,1,0,0,
阪神,巨人,東京ドーム,8/27,,0,0,0,0,0,247,1,0,9,2,0,1    ,,岩崎優,2.43,1,5,20,2,0,1,0,0,0,
阪神,ヤクルト,甲子園,8/29,1,0,0,0,0,0,250,0,1,8,6,3,6    ,○,小野泰己,5.00,6,21,87,2,0,4,5,0,0,
阪神,ヤクルト,甲子園,8/29,,0,0,0,0,0,250,0,1,8,1,0,1    ,H,桑原謙太朗,1.49,1,3,17,0,0,1,0,0,0,
阪神,ヤクルト,甲子園,8/29,,0,0,0,0,0,250,0,1,8,1,0,1    ,H,マテオ,2.64,1,3,15,0,0,2,0,0,0,
阪神,ヤクルト,甲子園,8/29,,0,0,0,0,0,250,0,1,8,1,0,1    ,S,ドリス,2.54,1,3,14,0,0,2,0,0,0,
阪神,ヤクルト,甲子園,8/30,1,0,0,0,0,0,252,0,1,10,5,2,5 1/3,,岩田稔,4.13,5.1,22,93,5,0,6,2,2,2,
阪神,ヤクルト,甲子園,8/30,,0,0,0,0,0,252,0,1,10,0,0,0 2/3,,藤川球児,2.79,0.2,3,12,1,0,1,0,0,0,
阪神,ヤクルト,甲子園,8/30,,0,0,0,0,0,252,0,1,10,1,0,1    ,H,桑原謙太朗,1.46,1,4,14,1,0,0,0,0,0,
阪神,ヤクルト,甲子園,8/30,,0,0,0,0,0,252,0,1,10,1,0,1    ,,マテオ,2.77,1,4,14,1,1,0,0,1,1,
阪神,ヤクルト,甲子園,8/30,,0,0,0,0,0,252,0,1,10,1,0,1    ,H,ドリス,2.49,1,3,10,0,0,1,0,0,0,
阪神,ヤクルト,甲子園,8/30,,0,0,0,1,0,252,0,1,10,1,0,1    ,○,髙橋聡文,1.96,1,5,27,0,0,2,2,0,0,
阪神,ヤクルト,甲子園,8/31,1,0,0,0,0,0,254,0,1,8,7,1,7    ,○,秋山拓巳,2.72,7,27,103,7,0,4,0,0,0,
阪神,ヤクルト,甲子園,8/31,,0,0,0,0,0,254,0,1,8,0,0,0 1/3,H,岩崎優,2.41,0.1,2,12,1,0,1,0,0,0,
阪神,ヤクルト,甲子園,8/31,,0,0,0,0,0,254,0,1,8,0,0,0 2/3,H,マテオ,2.74,0.2,2,5,0,0,0,0,0,0,
阪神,ヤクルト,甲子園,8/31,,0,0,0,0,0,254,0,1,8,1,0,1    ,S,ドリス,2.44,1,3,11,0,0,2,0,0,0,
阪神,中日,甲子園,9/1,1,0,0,0,0,0,256,0,1,8,6,2,6    ,,青柳晃洋,3.22,6,26,102,3,0,2,4,3,2,
阪神,中日,甲子園,9/1,,0,0,0,0,0,256,0,1,8,1,0,1    ,,桑原謙太朗,1.44,1,6,19,1,0,0,1,0,0,
阪神,中日,甲子園,9/1,,0,0,0,0,0,256,0,1,8,1,0,1    ,○,岩崎優,2.37,1,4,16,1,0,1,0,0,0,
阪神,中日,甲子園,9/1,,0,0,0,0,0,256,0,1,8,1,0,1    ,S,ドリス,2.39,1,3,10,0,0,2,0,0,0,
阪神,中日,甲子園,9/2,1,0,0,0,0,0,258,0,1,8,6,7,6    ,○,能見篤史,3.62,6,24,107,5,0,6,2,2,2,
阪神,中日,甲子園,9/2,,0,0,0,0,0,258,0,1,8,1,0,1    ,,髙橋聡文,1.91,1,3,7,1,0,1,0,0,0,
阪神,中日,甲子園,9/2,,0,0,0,0,0,258,0,1,8,1,0,1    ,,藤川球児,2.72,1,3,9,0,0,1,1,0,0,
阪神,中日,甲子園,9/2,,0,0,0,0,0,258,0,1,8,1,0,1    ,,石崎剛,0.00,1,4,16,1,0,0,0,0,0,
阪神,中日,甲子園,9/3,1,0,0,0,0,0,260,0,1,9,7,2,7    ,●,メンドーサ,5.14,7,27,96,7,1,8,1,4,4,
阪神,中日,甲子園,9/3,,0,0,0,0,0,260,0,1,9,1,0,1    ,,岩崎優,2.33,1,3,13,1,0,2,0,0,0,
阪神,中日,甲子園,9/3,,0,0,0,0,0,260,0,1,9,1,0,1    ,,石崎剛,0.00,1,4,15,1,0,3,0,0,0,
阪神,広島,マツダスタジアム,9/5,1,0,0,0,0,0,261,1,1,9,5,4,4    ,,藤浪晋太郎,3.72,4,21,84,5,1,4,4,5,5,
阪神,広島,マツダスタジアム,9/5,,0,0,0,0,0,261,1,1,9,2,0,1    ,,岩崎優,2.29,1,4,13,0,0,0,1,0,0,
阪神,広島,マツダスタジアム,9/5,,0,0,0,0,0,261,1,1,9,2,0,1    ,H,藤川球児,2.66,1,3,10,0,0,1,0,0,0,
阪神,広島,マツダスタジアム,9/5,,0,0,0,0,0,261,1,1,9,2,0,1    ,,髙橋聡文,2.09,1,4,12,2,0,0,0,1,1,
阪神,広島,マツダスタジアム,9/5,,0,0,0,0,0,261,1,1,9,2,0,1    ,,石崎剛,0.00,1,6,26,1,0,0,2,0,0,
阪神,広島,マツダスタジアム,9/5,,0,0,0,1,0,261,1,1,9,1,0,0 1/3,●,ドリス,2.72,0.1,3,10,2,1,0,0,2,2,
阪神,広島,マツダスタジアム,9/6,1,0,0,0,0,0,263,1,1,11,7,2,6 1/3,,岩田稔,3.46,6.1,24,92,4,0,7,1,0,0,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,1,0,0 2/3,H,桑原謙太朗,1.42,0.2,3,8,1,0,1,0,0,0,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,1,0,0 2/3,,マテオ,3.24,0.2,6,21,4,0,0,0,3,3,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,1,0,0 1/3,H,髙橋聡文,2.08,0.1,1,4,0,0,1,0,0,0,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,1,0,0 2/3,H,藤川球児,2.62,0.2,4,20,0,0,0,2,0,0,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,2,0,1 1/3,H,岩崎優,2.24,1.1,4,14,0,0,0,0,0,0,
阪神,広島,マツダスタジアム,9/6,,0,0,0,0,0,263,1,1,11,1,0,0 1/3,●,石崎剛,0.60,0.1,3,18,1,0,0,1,1,1,
阪神,広島,マツダスタジアム,9/7,1,0,0,0,0,0,265,1,1,9,6,4,5    ,●,秋山拓巳,3.01,5,25,101,8,1,2,2,6,6,
阪神,広島,マツダスタジアム,9/7,,0,0,0,0,0,265,1,1,9,4,0,3    ,,榎田大樹,0.00,3,11,42,2,0,3,1,0,0,
阪神,ＤｅＮＡ,甲子園,9/8,1,0,0,0,0,0,268,0,1,8,6,3,6    ,,能見篤史,3.67,6,24,97,4,1,7,3,3,3,
阪神,ＤｅＮＡ,甲子園,9/8,,0,0,0,0,0,268,0,1,8,1,0,1    ,○,岩崎優,2.20,1,3,12,0,0,2,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/8,,0,0,0,0,0,268,0,1,8,1,0,1    ,H,髙橋聡文,2.03,1,3,10,0,0,2,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/8,,0,0,0,0,0,268,0,1,8,1,0,1    ,,石崎剛,0.56,1,3,7,0,0,1,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,1,0,0,0,0,0,270,0,1,12,7,1,7    ,,小野泰己,4.64,7,25,93,6,0,9,0,1,1,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,1,0,1    ,H,桑原謙太朗,1.40,1,3,15,0,0,3,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,1,0,1    ,H,ドリス,2.67,1,3,18,0,0,3,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,1,0,1    ,H,マテオ,3.18,1,4,20,1,0,3,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,0,0,0 2/3,H,岩崎優,2.18,0.2,4,15,0,0,0,2,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,0,0,0 1/3,H,石崎剛,0.55,0.1,1,1,0,0,0,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/9,,0,0,0,0,0,270,0,1,12,1,0,1    ,○,藤川球児,2.56,1,3,15,0,0,2,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/10,1,0,0,0,0,0,272,0,1,9,5,5,5    ,,メンドーサ,5.25,5,24,93,6,0,1,2,3,3,
阪神,ＤｅＮＡ,甲子園,9/10,,0,0,0,0,0,272,0,1,9,0,0,0 1/3,H,榎田大樹,2.70,0.1,4,18,3,0,0,0,1,1,
阪神,ＤｅＮＡ,甲子園,9/10,,0,0,0,0,0,272,0,1,9,0,0,0 2/3,H,髙橋聡文,1.99,0.2,2,9,0,0,2,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/10,,0,0,0,0,0,272,0,1,9,1,0,1    ,,マテオ,3.12,1,6,20,2,0,1,0,1,0,
阪神,ＤｅＮＡ,甲子園,9/10,,0,0,0,0,0,272,0,1,9,1,0,1    ,,桑原謙太朗,1.53,1,5,21,2,1,1,0,1,1,
阪神,ＤｅＮＡ,甲子園,9/10,,0,0,0,0,0,272,0,1,9,1,0,1    ,○,ドリス,2.62,1,3,11,0,0,2,0,0,0,
阪神,巨人,甲子園,9/12,1,0,0,0,0,0,274,0,1,12,3,5,3 1/3,,藤浪晋太郎,4.12,3.1,16,71,4,1,3,2,4,4,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,1,0,1 2/3,H,石崎剛,0.50,1.2,5,25,0,0,3,0,0,0,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,1,0,1    ,H,髙橋聡文,1.94,1,4,16,1,0,0,0,0,0,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,1,0,1    ,H,マテオ,3.06,1,3,13,0,0,1,0,0,0,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,1,0,1    ,H,桑原謙太朗,1.50,1,4,12,1,0,0,0,0,0,
阪神,巨人,甲子園,9/12,,0,0,0,1,0,274,0,1,12,1,0,1    ,,ドリス,2.57,1,6,25,2,0,2,1,1,0,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,1,0,1    ,H,藤川球児,2.51,1,4,15,0,0,1,1,0,0,
阪神,巨人,甲子園,9/12,,0,0,0,0,0,274,0,1,12,2,0,2    ,,岩崎優,2.11,2,9,32,3,0,1,0,0,0,
阪神,巨人,甲子園,9/13,1,0,0,0,0,0,276,0,1,9,3,0,3    ,●,岩田稔,4.29,3,20,79,8,1,3,2,6,5,
阪神,巨人,甲子園,9/13,,0,0,0,0,0,276,0,1,9,3,0,3    ,,榎田大樹,1.42,3,15,61,5,0,3,1,1,0,
阪神,巨人,甲子園,9/13,,0,0,0,0,0,276,0,1,9,1,0,1    ,,石崎剛,0.47,1,3,10,1,0,0,0,0,0,
阪神,巨人,甲子園,9/13,,0,0,0,0,0,276,0,1,9,2,0,2    ,,藤川球児,2.40,2,7,26,1,0,3,0,0,0,
阪神,巨人,甲子園,9/14,1,0,0,0,0,0,278,0,1,12,6,2,6    ,,秋山拓巳,2.89,6,21,74,4,0,1,0,0,0,
阪神,巨人,甲子園,9/14,,0,0,0,0,0,278,0,1,12,1,0,1    ,H,髙橋聡文,1.90,1,3,13,0,0,2,0,0,0,
阪神,巨人,甲子園,9/14,,0,0,0,0,0,278,0,1,12,1,0,1    ,H,桑原謙太朗,1.62,1,5,19,3,0,0,0,1,1,
阪神,巨人,甲子園,9/14,,0,0,0,0,0,278,0,1,12,1,0,1    ,,ドリス,2.68,1,7,16,3,0,2,1,1,1,
阪神,巨人,甲子園,9/14,,0,0,0,0,0,278,0,1,12,1,0,1    ,H,マテオ,3.00,1,3,12,0,0,1,0,0,0,
阪神,巨人,甲子園,9/14,,0,0,0,0,0,278,0,1,12,2,0,2    ,,石崎剛,0.43,2,6,18,0,0,2,0,0,0,
阪神,広島,甲子園,9/18,1,0,0,0,1,0,284,0,0,9,5,1,5    ,,メンドーサ,4.76,5,22,80,5,0,3,2,2,2,
阪神,広島,甲子園,9/18,,0,0,0,0,0,284,0,0,9,2,0,2    ,,石崎剛,0.39,2,6,33,0,0,3,1,0,0,
阪神,広島,甲子園,9/18,,0,0,0,0,0,284,0,0,9,0,0,0 1/3,●,岩崎優,2.24,0.1,3,14,0,0,0,2,1,1,
阪神,広島,甲子園,9/18,,0,0,0,0,0,284,0,0,9,0,0,0 2/3,,桑原謙太朗,1.61,0.2,2,4,1,0,0,0,0,0,
阪神,広島,甲子園,9/18,,0,0,0,0,0,284,0,0,9,1,0,1    ,,髙橋聡文,1.85,1,3,13,0,0,0,0,0,0,
阪神,巨人,甲子園,9/20,1,0,0,0,0,0,286,0,1,9,6,0,6    ,●,秋山拓巳,2.89,6,23,88,5,1,2,1,2,2,
阪神,巨人,甲子園,9/20,,0,0,0,0,0,286,0,1,9,1,0,1    ,,髙橋聡文,1.81,1,3,12,0,0,1,0,0,0,
阪神,巨人,甲子園,9/20,,0,0,0,0,0,286,0,1,9,1,0,1    ,,藤川球児,2.36,1,3,17,1,0,2,0,0,0,
阪神,巨人,甲子園,9/20,,0,0,0,0,0,286,0,1,9,1,0,1    ,,石崎剛,0.38,1,5,16,1,0,0,2,0,0,
阪神,広島,マツダスタジアム,9/21,1,0,0,0,0,0,287,1,1,9,5,1,4    ,,能見篤史,3.92,4,18,72,6,2,1,1,5,5,
阪神,広島,マツダスタジアム,9/21,,0,0,0,0,0,287,1,1,9,2,0,1    ,,岩崎優,2.20,1,3,18,0,0,2,0,0,0,
阪神,広島,マツダスタジアム,9/21,,0,0,0,0,0,287,1,1,9,2,0,1    ,H,藤川球児,2.31,1,4,17,0,0,2,1,0,0,
阪神,広島,マツダスタジアム,9/21,,0,0,0,0,0,287,1,1,9,2,0,1    ,○,桑原謙太朗,1.58,1,3,19,0,0,2,0,0,0,
阪神,広島,マツダスタジアム,9/21,,0,0,0,0,0,287,1,1,9,2,0,1    ,H,マテオ,2.95,1,3,14,0,0,2,0,0,0,
阪神,広島,マツダスタジアム,9/21,,0,0,0,0,0,287,1,1,9,2,0,1    ,S,ドリス,2.64,1,3,14,0,0,1,1,0,0,
阪神,ヤクルト,神宮,9/23,1,0,0,0,0,0,289,1,1,9,6,4,5    ,○,小野泰己,4.35,5,23,101,3,0,4,6,0,0,
阪神,ヤクルト,神宮,9/23,,0,0,0,0,0,289,1,1,9,2,0,1    ,,岩崎優,2.17,1,5,21,0,0,2,1,1,0,
阪神,ヤクルト,神宮,9/23,,0,0,0,0,0,289,1,1,9,2,0,1    ,,石崎剛,0.36,1,3,12,0,0,1,0,0,0,
阪神,ヤクルト,神宮,9/23,,0,0,0,0,0,289,1,1,9,2,0,1    ,,髙橋聡文,1.77,1,3,19,0,0,0,0,0,0,
阪神,ヤクルト,神宮,9/23,,0,0,0,0,0,289,1,1,9,2,0,1    ,,藤川球児,2.26,1,3,18,0,0,3,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/24,1,0,0,0,1,0,292,0,1,9,6,0,6    ,●,岩貞祐太,5.13,6,26,81,5,0,5,3,2,2,
阪神,ＤｅＮＡ,甲子園,9/24,,0,0,0,0,0,292,0,1,9,1,0,1 1/3,,岩崎優,2.13,1.1,4,20,0,0,2,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/24,,0,0,0,0,0,292,0,1,9,0,0,0 2/3,,石崎剛,0.35,0.2,3,13,1,0,1,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/24,,0,0,0,0,0,292,0,1,9,1,0,1    ,,マテオ,2.89,1,3,8,1,0,0,0,0,0,
阪神,ＤｅＮＡ,甲子園,9/25,1,0,0,0,1,0,294,0,1,9,6,0,6    ,●,岩田稔,4.31,6,26,102,8,0,4,1,3,3,
阪神,ＤｅＮＡ,甲子園,9/25,,0,0,0,0,0,294,0,1,9,1,0,1    ,,髙橋聡文,1.74,1,4,15,1,0,0,0,0,0,
