自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
阪神,巨人,東京ドーム,9/30,,0,0,0,1,0,301,1,1,9,2,0,1    ,H,藤川球児,2.26,1,5,15,0,0,1,1,0,0,
阪神,巨人,東京ドーム,9/30,,0,0,0,0,0,301,1,1,9,2,0,1    ,H,桑原謙太朗,1.53,1,3,15,0,0,1,0,0,0,
阪神,巨人,東京ドーム,9/30,,0,0,0,0,0,301,1,1,9,2,0,1    ,,マテオ,2.79,1,3,8,0,0,1,0,0,0,
阪神,巨人,東京ドーム,9/30,,0,0,0,0,0,301,1,1,9,2,0,1    ,,ドリス,2.51,1,3,15,0,0,1,0,0,0,
阪神,巨人,東京ドーム,10/1,1,0,0,0,0,0,303,1,0,9,6,5,5    ,○,岩田稔,4.25,5,21,90,5,1,2,2,2,2,
阪神,巨人,東京ドーム,10/1,,0,0,0,0,0,303,1,0,9,2,0,1    ,H,石崎剛,1.21,1,3,9,0,0,1,0,0,0,
阪神,巨人,東京ドーム,10/1,,0,0,0,0,0,303,1,0,9,2,0,1    ,H,桑原謙太朗,1.51,1,4,20,0,0,1,1,0,0,
阪神,巨人,東京ドーム,10/1,,0,0,0,0,0,303,1,0,9,2,0,1    ,H,マテオ,2.75,1,3,10,0,0,1,0,0,0,
阪神,巨人,東京ドーム,10/1,,0,0,0,0,0,303,1,0,9,2,0,1    ,S,ドリス,2.76,1,6,24,3,0,0,0,2,2,
阪神,中日,甲子園,10/5,1,0,0,0,0,0,306,0,1,8,6,1,6    ,,秋山拓巳,2.99,6,23,76,3,0,5,3,1,1,
阪神,中日,甲子園,10/5,,0,0,0,0,0,306,0,1,8,1,0,1    ,○,竹安大知,0.00,1,3,9,0,0,1,0,0,0,
阪神,中日,甲子園,10/5,,0,0,0,0,0,306,0,1,8,1,0,1    ,H,才木浩人,0.00,1,6,29,1,0,1,2,0,0,
阪神,中日,甲子園,10/5,,0,0,0,0,0,306,0,1,8,1,0,1    ,S,ドリス,2.71,1,3,16,0,0,1,0,0,0,
阪神,中日,甲子園,10/10,1,0,0,0,0,0,310,0,1,8,4,1,4    ,,メッセンジャー,2.39,4,13,57,1,0,8,0,0,0,
阪神,中日,甲子園,10/10,,0,0,0,0,0,310,0,1,8,1,0,1    ,○,石崎剛,1.17,1,5,19,1,0,0,1,0,0,
阪神,中日,甲子園,10/10,,0,0,0,0,0,310,0,1,8,1,0,1    ,,岩崎優,2.39,1,4,15,1,0,2,0,0,0,
阪神,中日,甲子園,10/10,,0,0,0,0,0,310,0,1,8,1,0,1    ,,藤川球児,2.22,1,3,17,0,0,1,1,0,0,
阪神,中日,甲子園,10/10,,0,0,0,0,0,310,0,1,8,0,0,0 1/3,,安藤優也,27.00,0.1,2,9,1,1,0,0,1,1,
阪神,中日,甲子園,10/10,,0,0,0,0,0,310,0,1,8,1,0,1 2/3,,才木浩人,0.00,1.2,7,24,1,0,2,1,0,0,
ヤクルト,ＤｅＮＡ,神宮,3/31,1,0,0,0,0,0,8,0,1,8,6,3,6    ,○,石川雅規,3.00,6,22,76,5,1,3,1,2,2,
ヤクルト,ＤｅＮＡ,神宮,3/31,,0,0,0,0,0,8,0,1,8,1,0,1    ,H,ルーキ,0.00,1,3,12,0,0,2,0,0,0,
ヤクルト,ＤｅＮＡ,神宮,3/31,,0,0,0,0,0,8,0,1,8,1,0,1    ,,石山泰稚,0.00,1,3,12,0,0,2,0,0,0,
ヤクルト,ＤｅＮＡ,神宮,3/31,,0,0,0,0,0,8,0,1,8,1,0,1    ,,秋吉亮,0.00,1,3,18,0,0,1,0,0,0,
